# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (m/s²)
128.514144531245,1755.8570272805664,-19.164584815355678,0.10610915614011
128.564144531245,1752.7136418367465,-19.15962646070087,0.099519235496744
128.61414453124502,1749.5710953652087,-19.1542151709246,0.10974975703567
128.66414453124503,1746.4294265619274,-19.149150418489203,0.0929998168398
128.71414453124504,1743.2885211777934,-19.144841954462308,0.084202482180517
128.76414453124505,1740.1483209929243,-19.14037848800773,0.096225917159273
128.81414453124506,1737.0089144447863,-19.135201737555104,0.103843749754168
128.86414453124507,1733.870336834849,-19.13046363948184,0.088511302430521
128.91414453124509,1730.732493308595,-19.126216409717628,0.077480812566098
128.9641445312451,1727.5952730241709,-19.122958689742813,0.055214276988527
129.0141445312451,1724.458512768778,-19.120546438613783,0.040327907259833
129.06414453124512,1721.3220800810566,-19.118963570938647,0.025580361850319
129.11414453124513,1718.1858646237592,-19.11792016041735,0.008150638689321
129.16414453124514,1715.0496916893321,-19.118623102340585,-0.03058300696991
129.21414453124515,1711.9132856688354,-19.12060143609301,-0.050005533010393
129.26414453124517,1708.7764650431961,-19.12364401326847,-0.06542399121843
129.31414453124518,1705.6391263510302,-19.12685277617506,-0.073103357117683
129.3641445312452,1702.5011565739962,-19.13157334988172,-0.108984208248407
129.4141445312452,1699.3623136086032,-19.137268782132473,-0.117192364204026
129.4641445312452,1696.222513921976,-19.14320965546659,-0.122154420910858
129.51414453124522,1693.0817063498946,-19.14960217095864,-0.132547287214177
129.56414453124523,1689.9398143112494,-19.15642717820437,-0.142396935491874
129.61414453124524,1686.7967483893567,-19.16391625513517,-0.152477464410811
129.66414453124526,1683.652446274372,-19.171355047353913,-0.145304807799453
129.71414453124527,1680.5069513382878,-19.178490272770976,-0.141923440681257
129.76414453124528,1677.3602868241826,-19.18563986067695,-0.141530394186955
129.8141445312453,1674.2124697665768,-19.192488807270944,-0.134711910095802
129.8641445312453,1671.0635414622523,-19.19925080442944,-0.135398041155554
129.9141445312453,1667.9135048940943,-19.20597950671185,-0.133474272439717
129.96414453124532,1664.762375696661,-19.212517972114032,-0.125036686755415
130.01414453124534,1661.610231250548,-19.218253428465374,-0.104144526764028
130.06414453124535,1658.4572338059656,-19.22285439037518,-0.07569327464989
130.11414453124536,1655.3036285861435,-19.225636329572662,-0.044035091738796
130.16414453124537,1652.1496361556501,-19.227712035325567,-0.028755399137878
130.21414453124538,1648.9954402556612,-19.227821265427064,0.022056361110412
130.2641445312454,1645.8414175063317,-19.225729499421693,0.057309390925717
130.3141445312454,1642.6878514267448,-19.22234064071499,0.082210043446995
130.36414453124542,1639.5349726180243,-19.217208929981464,0.124118431266083
130.41414453124543,1636.3831153598192,-19.209890825282393,0.165372012817033
130.46414453124544,1633.2326045957104,-19.200880707524092,0.196063383918665
130.51414453124545,1630.0837058202214,-19.190266052277664,0.223375802646394
130.56414453124546,1626.9366241895289,-19.178832474012538,0.23796010520801
130.61414453124547,1623.791507818022,-19.166129670691724,0.273681782260528
130.66414453124548,1620.6486473677007,-19.151287091855387,0.314235337067254
130.7141445312455,1617.5083459756356,-19.13508520322805,0.336121611410058
130.7641445312455,1614.3708085783492,-19.117589805613914,0.357883354593172
130.81414453124552,1611.2361887352768,-19.099627911407733,0.366041620847733
130.86414453124553,1608.104588159971,-19.080651865040696,0.389432426821935
130.91414453124554,1604.976170134015,-19.060959904130343,0.396730362047651
130.96414453124555,1601.851001009754,-19.041080572313113,0.399342990679361
131.01414453124556,1598.729109596366,-19.02099557711273,0.402235639908518
131.06414453124557,1595.6105110101073,-19.00106409312248,0.389550267948646
131.11414453124559,1592.4950905195517,-18.98236538299537,0.362863233352795
131.1641445312456,1589.3826596214496,-18.964513237385027,0.348367939537525
131.2141445312456,1586.2730765172846,-18.947712831405436,0.325695176932204
131.26414453124562,1583.166169976832,-18.931872876028677,0.303925122726525
131.31414453124563,1580.061743042286,-18.917632882098133,0.263982389712422
131.36414453124564,1576.9594755662256,-18.905535920013847,0.225141655261407
131.41414453124565,1573.8590696475007,-18.894840257654838,0.197820947735561
131.46414453124567,1570.760270206177,-18.886102975871797,0.152090139397778
131.51414453124568,1567.6627186226183,-18.879670057678155,0.101151796371184
131.5641445312457,1564.5659840943142,-18.876187341598275,0.044738876625814
131.6141445312457,1561.4696358469118,-18.87479857947761,0.007727007495113
131.6641445312457,1558.3733406982856,-18.87563499046643,-0.040736177899087
131.71414453124572,1555.2767121426052,-18.878817929788358,-0.083701876039871
131.76414453124573,1552.1794050274186,-18.883850739599872,-0.119830556762627
131.81414453124574,1549.0811076552745,-18.890936326437693,-0.161385860775186
131.86414453124576,1545.9814928959481,-18.899821042484287,-0.191964904373529
131.91414453124577,1542.8803093513227,-18.9100212061863,-0.217565935489057
131.96414453124578,1539.7773364233205,-18.921664657945477,-0.246450848531953
132.0141445312458,1536.6723475615142,-18.934468247055204,-0.259546400364012
132.0641445312458,1533.5652486628157,-18.94722104177075,-0.252395688595801
132.1141445312458,1530.456073601522,-18.959855460995687,-0.254245242318306
132.16414453124582,1527.3448098302663,-18.972743292584397,-0.262804266791807
132.21414453124584,1524.231387454184,-18.986160496778684,-0.269744686598026
132.26414453124585,1521.1157672741917,-18.999431805594565,-0.263798996015795
132.31414453124586,1517.9979770716168,-19.012620092741344,-0.258174005220541
132.36414453124587,1514.8780882855008,-19.02483835350775,-0.231000357931036
132.41414453124588,1511.7563046865894,-19.035688302336194,-0.199887780116875
132.4641445312459,1508.6328921824318,-19.044620125798026,-0.159438782054678
132.5141445312459,1505.508166313113,-19.051771949042312,-0.127529303626428
132.56414453124592,1502.3823927837616,-19.057408330077347,-0.097374682912032
132.61414453124593,1499.2558235641575,-19.061488296967337,-0.069036330123576
132.66414453124594,1496.1286794920159,-19.06444298262662,-0.043797178332719
132.71414453124595,1493.0011938616333,-19.06549722150673,6.474227805432567e-5
132.76414453124596,1489.8737040431847,-19.06455985766349,0.035948990830989
132.81414453124597,1486.7465044783314,-19.061985253735145,0.068636907367216
132.86414453124598,1483.619872735552,-19.057655197371076,0.099121588800338
132.914144531246,1480.4940369711537,-19.05241003430168,0.114098092469047
132.964144531246,1477.3691475727287,-19.046039524348224,0.138398808876859
133.01414453124602,1474.2453856053646,-19.038749267101387,0.152461850238602
133.06414453124603,1471.1228712128493,-19.03084609588025,0.164493866557188
133.11414453124604,1468.001707769309,-19.022285273606997,0.175686466196744
133.16414453124605,1464.881977379563,-19.013467227957076,0.175711836312984
133.21414453124606,1461.7636833248355,-19.004822797341333,0.169840259492766
133.26414453124607,1458.6467808764041,-18.99650682542259,0.163235814158747
133.3141445312461,1455.5312176981543,-18.988494221992283,0.156628849135133
133.3641445312461,1452.416936141129,-18.980959041120766,0.140673495105558
133.4141445312461,1449.303795156653,-18.974682096212845,0.113506855339025
133.46414453124612,1446.1915940972774,-18.969501671399396,0.086080926152689
133.51414453124613,1443.080075781979,-18.96653799689185,0.037093449734355
133.56414453124614,1439.9688758550574,-18.965409933626724,0.013334891985833
133.61414453124615,1436.8578004863314,-18.964860297975882,0.008530079569773
133.66414453124617,1433.746792778077,-18.96462511655474,-0.001168992298741
133.71414453124618,1430.6357675395006,-18.965126276857852,-0.017117935986309
133.7641445312462,1427.5246061204264,-18.96627700187014,-0.032033170311591
133.8141445312462,1424.4131717877274,-18.968616935503334,-0.066520553738405
133.8641445312462,1421.3011775869154,-18.97321563304547,-0.114406548754592
133.91414453124622,1418.188255650446,-18.979764794609096,-0.142656409600816
133.96414453124623,1415.074179287591,-18.987164168612132,-0.155845345503851
134.01414453124625,1411.9588171865353,-18.995499393482753,-0.176131322034605
134.06414453124626,1408.842015262372,-19.004640730676016,-0.187047611255572
134.11414453124627,1405.7236869701107,-19.014046511627896,-0.19051483461101
134.16414453124628,1402.6037920651677,-19.02375612919685,-0.195825237573622
134.2141445312463,1399.4822974490137,-19.03348583259004,-0.19339656757119
134.2641445312463,1396.3592166329086,-19.043099007667703,-0.191453167296385
134.3141445312463,1393.234564856572,-19.052617479951838,-0.186906683072241
134.36414453124632,1390.1083877676233,-19.06162484756229,-0.173868267087043
134.41414453124634,1386.9807833935365,-19.069996613793105,-0.158165296918599
134.46414453124635,1383.8518907649268,-19.077316495647967,-0.140692118698595
134.51414453124636,1380.7218260781492,-19.08441011930648,-0.138034539855182
134.56414453124637,1377.5906458268948,-19.090743598030453,-0.114443741016392
